Date,Close,High,Low,Open,Volume
2014-09-17,457.334,468.174,452.422,465.864,21056800
2014-09-18,424.44,456.86,413.104,456.86,34483200
2014-09-19,394.796,427.835,384.532,424.103,37919700
2014-09-20,408.904,423.296,389.883,394.673,36863600
2014-09-21,398.821,412.426,393.181,408.085,26580100
2014-09-22,402.152,406.916,397.13,399.1,24127600
2014-09-23,435.791,441.557,396.197,402.092,45099500
2014-09-24,423.205,436.112,421.132,435.751,30627700
2014-09-25,411.574,423.52,409.468,423.156,26814400
2014-09-26,404.425,414.938,400.009,411.429,21460800
2014-09-27,399.52,406.623,397.372,403.556,15029300
2014-09-28,377.181,401.017,374.332,399.471,23613300
2014-09-29,375.467,385.211,372.24,376.928,32497700
2014-09-30,386.944,390.977,373.443,376.088,34707300
2014-10-01,383.615,391.379,380.78,387.427,26229400
2014-10-02,375.072,385.497,372.946,383.988,21777700
2014-10-03,359.512,377.695,357.859,375.181,30901200
2014-10-04,328.866,364.487,325.886,359.892,47236500
2014-10-05,320.51,341.801,289.296,328.916,83308096
2014-10-06,330.079,345.134,302.56,320.389,79011800
2014-10-07,336.187,339.247,320.482,330.584,49199900
2014-10-08,352.94,354.364,327.188,336.116,54736300
2014-10-09,365.026,382.726,347.687,352.748,83641104
2014-10-10,361.562,375.067,352.963,364.687,43665700
2014-10-11,362.299,367.191,355.951,361.362,13345200
2014-10-12,378.549,379.433,356.144,362.606,17552800
2014-10-13,390.414,397.226,368.897,377.921,35221400
2014-10-14,400.87,411.698,391.324,391.692,38491500
2014-10-15,394.773,402.227,388.766,400.955,25267100
2014-10-16,382.556,398.807,373.07,394.518,26990000
2014-10-17,383.758,385.478,375.389,382.756,13600700
2014-10-18,391.442,395.158,378.971,383.976,11416800
2014-10-19,389.546,393.939,386.457,391.254,5914570
2014-10-20,382.845,390.084,378.252,389.231,16419000
2014-10-21,386.475,392.646,380.834,382.421,14188900
2014-10-22,383.158,388.576,382.249,386.118,11641300
2014-10-23,358.417,385.048,356.447,382.962,26456900
2014-10-24,358.345,364.345,353.305,358.591,15585700
2014-10-25,347.271,359.861,342.877,358.611,18127500
2014-10-26,354.704,359.221,343.931,347.487,11272500
2014-10-27,352.989,358.632,349.809,354.777,13033000
2014-10-28,357.618,359.984,352.679,353.215,7845880
2014-10-29,335.591,357.833,335.343,357.089,18192700
2014-10-30,345.305,350.913,335.072,335.709,30177900
2014-10-31,338.321,348.045,337.142,345.009,12545400
2014-11-01,325.749,340.529,321.055,338.65,16677200
2014-11-02,325.892,329.05,320.626,326.075,8603620
2014-11-03,327.554,334.002,325.481,325.569,12948500
2014-11-04,330.492,331.767,325.077,327.161,15655500
2014-11-05,339.486,343.369,330.683,330.683,19817200
